AAPFCO,"""AAPFCO"" means the Association of American Plant Food Control Officials."
qualified manufacturer,"""Qualified manufacturer"" means the same as such term is defined in § 59.1-284.20."
qualified manufacturer,"""Qualified manufacturer"" means a manufacturer that (i) is expected to make a capital investment of at least $500 million by June 30, 2023, in an eligible county related to the manufacture of aerospace engines and (ii) is expected to create at least 540 jobs in an eligible county for the manufacture of aerospace engines or activities ancillary or supportive of such manufacture."
qualified manufacturer,"""Qualified manufacturer"" means any manufacturer of semiconductor products who (i) has made a cumulative investment of at least one billion dollars located in an eligible city and (ii) manufactures wafers in that eligible city."
qualified minor's trust,"""Qualified minor's trust"" means any trust, including a trust created by a custodian, that meets the requirements of § 2503(c) of the Internal Revenue Code of 1986 and the regulations implementing that section."
qualified minor's trust,"""Qualified minor's trust"" means any trust (including a trust created by a custodian) that meets the requirements of § 2503 (c) of the Internal Revenue Code of 1986 and the regulations implementing that section."
qualified organization,"""Qualified organization"" means any organization to which a valid permit has been issued by the Department to conduct charitable gaming or any organization that is exempt pursuant to § 18.2-340.23."
qualified owner occupant,"""Qualified owner occupant"" means the owner of a housing unit who also uses the housing unit as the owner's residence, and who is designated as a qualified owner occupant pursuant to § 36-165."
qualified participant,"""Qualified participant"" means, in the case of a plan established pursuant to § 51.1-608, an employee of a participating employer who is making continuous deferrals of at least ten dollars per pay period to the deferred compensation plan established by the Board pursuant to Chapter 6 (§ 51.1-600 et seq.) of this title or to a plan established pursuant to § 403 (b) of the Internal Revenue Code of 1986, as amended. The determination of whether an employee is making continuous deferrals shall be made by the Board. In the case of a plan established pursuant to subsection D of § 51.1-608 or § 51.1-610, qualified participant means an employee described by the governing body establishing such plan in the documents setting forth the details of such plan."
qualified participant,"""Qualified participant"" means an eligible employee of a participating employer."
qualified property,"""Qualified property"" means all real property and all tangible personal property at a fixed location in this Commonwealth, whether or not the property is subject to exposure from an external hazard located on property that is neither owned nor controlled by the prospective insured, and whether or not the property is subject to exposure from riot hazard, where the property:"
qualified provider,"""Qualified provider"" means a provider of wireless broadband service that has obtained all governmental approvals required for the provision of wireless broadband service in the unserved area in which it seeks to provide such service."
qualified public depository,"""Qualified public depository"" means any national banking association, federal savings and loan association or federal savings bank located in Virginia, any bank, trust company or savings institution organized under Virginia law, or any state bank or savings institution organized under the laws of another state located in Virginia authorized by the Treasury Board to hold public deposits according to this chapter."
qualified purchaser,"""Agent"" means any individual who, as a director, officer, partner, associate, employee or sales representative of a broker-dealer or issuer, effects or undertakes to effect sales of securities, otherwise than on behalf of (i) an issuer either offering a security exempted by subdivision 1, 2, 3, 4, 7, 9, or 10 of subsection A of § 13.1-514 or effecting a transaction with a ""qualified purchaser"" as defined by the United States Securities and Exchange Commission or (ii) a broker-dealer effecting in this Commonwealth transactions limited to those transactions described in § 15(h)(2) of the Securities Exchange Act of 1934."
qualified real property investment,"""Qualified real property investment"" means the amount properly chargeable to a capital account for improvements to rehabilitate, expand or construct depreciable real property placed in service during the calendar year within an enterprise zone provided that the total amount of such improvements equals or exceeds (i) $100,000 with respect to a single building or a facility in the case of rehabilitation or expansion or (ii) $500,000 with respect to a single building or a facility in the case of new construction. Qualified real property investments include expenditures associated with (a) any exterior, interior, structural, mechanical or electrical improvements necessary to construct, expand or rehabilitate a building for commercial, industrial or mixed use; (b) excavations; (c) grading and paving; (d) installing driveways; and (e) landscaping or land improvements. Qualified real property investments shall include, but not be limited to, costs associated with demolition, carpentry, sheetrock, plaster, painting, ceilings, fixtures, doors, windows, fire suppression systems, roofing, flashing, exterior repair, cleaning and cleanup."
qualified research,"""Virginia base amount"" means the base amount as defined in § 41(c) of the Internal Revenue Code, as amended, that is attributable to Virginia, determined by (i) substituting ""Virginia qualified research and development expense"" for ""qualified research expense""; (ii) substituting ""Virginia qualified research"" for ""qualified research""; and (iii) instead of ""fixed base percentage,"" using:"
qualified research and technologies,"""Qualified research and technologies"" means research programs or technologies identified in the Commonwealth Research and Technology Strategic Roadmap as areas of focus for technology investment in the Commonwealth, which may include but are not limited to the fields of energy, conservation, environment, microelectronics, robotics and unmanned vehicle systems, advanced shipbuilding, or lifespan biology and medicine."
qualified research expense,"""Virginia base amount"" means the base amount as defined in § 41(c) of the Internal Revenue Code, as amended, that is attributable to Virginia, determined by (i) substituting ""Virginia qualified research and development expense"" for ""qualified research expense""; (ii) substituting ""Virginia qualified research"" for ""qualified research""; and (iii) instead of ""fixed base percentage,"" using:"
qualified research expenses,"""Qualified research expenses"" means qualified research expenses as defined in § 41 of the Internal Revenue Code of 1986, 26 U.S.C. § 41, as in effect on June 30, 1992, in the fields of advanced computing, advanced materials, biotechnology, electronic device technology, environmental technology, or medical device technology."
qualified resident assistance policy,"""Qualified resident assistance policy"" means a procedure, consistently followed by a facility, pursuant to which the facility endeavors to avoid requiring a resident to leave the facility because of inability to pay regular charges and which complies with the requirements of the Internal Revenue Service for maintenance of status as a tax exempt charitable organization under § 501(c)(3) of the Internal Revenue Code. This policy shall be (i) generally made known to residents through the resident contract and (ii) supported by reasonable and consistent efforts to promote the availability of funds, either through a special fund, separate foundation or access to other available funds, to assist residents who are unable to pay regular charges in whole or in part."
qualified semiconductor manufacturer,"""Qualified semiconductor manufacturer"" means a qualified manufacturer, as defined in § 59.1-284.14, and its related companies that manufacture semiconductor-related products in an eligible city, either directly or through contractual, licensing, leasing, or other agreements with other entities."
qualified shipbuilder,"""Qualified shipbuilder"" means a shipbuilder located in an eligible city that (i) makes a new capital investment of at least $300 million from January 1, 2009 through December 31, 2011, related to advanced shipbuilding in an eligible city; (ii) creates at least 1,000 new full-time jobs in an eligible city for advanced shipbuilding or activities ancillary to or supportive of advanced shipbuilding; (iii) maintains an apprenticeship program accredited by the Council for Occupational Education with an average annual enrollment of at least 750 and articulation agreements with local community colleges that allow its graduates to qualify for accredited associate degrees from those institutions; and (iv) maintains a level of expenditures directly or indirectly supporting training activities, which level is at least equal to the base training expense."
qualified supplier,"""Qualified supplier"" means a manufacturer, assembler, distributor, or service provider on a qualified supplier list that (i) first begins doing business at a location within the Commonwealth or (ii) expands its business at a location within the Commonwealth subsequent to a qualified manufacturer commencing construction of a manufacturing, assembly, and testing facility in an eligible county. A ""qualified supplier"" shall deliver or provide ancillary parts, tools, or other components used by the qualified manufacturer within the Commonwealth or provide ancillary services within the Commonwealth for such qualified manufacturer. A qualified supplier shall not be an affiliate of a qualified manufacturer."
qualified supplier cluster,"""Qualified supplier cluster"" means the aggregate of qualified suppliers."
qualified supplier list,"""Qualified supplier list"" means a list of prospective qualified suppliers submitted by a qualified manufacturer to the Secretary no less frequently than annually."
qualified united states financial institution,"""Qualified United States financial institution"" means an institution that:"
qualified united states financial institution,"""Qualified United States financial institution"" means an institution that:"
qualified virginia facility,"""Qualified Virginia facility"" means a facility located in the Commonwealth that uses qualified energy resources to produce electricity, and that is originally placed in service on or after January 1, 2007."
qualified voter,"""Qualified voter"" means a person who is entitled to vote pursuant to the Constitution of Virginia and who is (i) 18 years of age on or before the day of the election or qualified pursuant to § 24.2-403 or subsection D of § 24.2-544, (ii) a resident of the Commonwealth and of the precinct in which he offers to vote, and (iii) registered to vote. No person who has been convicted of a felony shall be a qualified voter unless his civil rights have been restored by the Governor or other appropriate authority. No person adjudicated incapacitated shall be a qualified voter unless his capacity has been reestablished as provided by law."
qualified voter in a town,"""Qualified voter in a town"" means a person who is a resident within the corporate boundaries of the town in which he offers to vote, duly registered in the county of his residence, and otherwise a qualified voter."
qualified zone improvements,"""Qualified zone improvements"" means the amount properly chargeable to a capital account for improvements to rehabilitate or undertake construction on real property during the applicable year within a housing revitalization zone, provided that the total amount of such improvements equals or exceeds (i) for a qualified business firm, an investment of $25,000 in rehabilitation expenses on each housing unit, $50,000 in new construction expenses for each single family housing unit, or $40,000 for each multifamily housing unit or (ii) for a qualified owner occupant, an investment of $12,500 in rehabilitation expenses or $50,000 in new construction expenses for each housing unit. Qualified zone improvements include expenditures associated with any exterior, structural, mechanical, plumbing, utility, or electrical improvements necessary to rehabilitate or construct a building for residential use and excavations, grading, paving, driveways, roads, sidewalks, landscaping, or other land improvements. Qualified zone improvements shall also include, but not be limited to, costs associated with demolition, carpentry, sheetrock, plaster, painting, ceilings, fixtures, doors, windows, fire suppression systems, roofing and flashing, exterior repair, cleaning, and cleanup."
qualified zone improvements,"""Qualified zone improvements"" means the amount properly chargeable to a capital account for improvements to rehabilitate or expand depreciable real property placed in service during the taxable year within an enterprise zone, provided that the total amount of such improvements equals or exceeds (i) $50,000 and (ii) the assessed value of the original facility immediately prior to the rehabilitation or expansion. Qualified zone improvements include expenditures associated with any exterior, structural, mechanical, or electrical improvements necessary to expand or rehabilitate a building for commercial or industrial use and excavations, grading, paving, driveways, roads, sidewalks, landscaping, or other land improvements. Qualified zone improvements shall include, but not be limited to, costs associated with demolition, carpentry, sheetrock, plaster, painting, ceilings, fixtures, doors, windows, fire suppression systems, roofing and flashing, exterior repair, cleaning, and cleanup."
qualified zone investment,"""Large qualified business firm"" means a qualified business firm making qualified zone investments in excess of $15 million when such qualified zone investments result in the creation of at least 50 permanent full-time positions. ""Qualified zone investment"" and ""permanent full-time position"" shall have the meanings provided in subsection A of § 59.1-280.1."
qualified zone resident,"""qualified zone resident"" as used in this section means the partnership, limited liability company or S corporation. Credits granted to a partnership, limited liability company or S corporation shall be passed through to the partners, members or shareholders, respectively."
qualifying borrower,"""Qualifying borrower"" means any person who demonstrates that a loan made pursuant to this chapter will assist one or more persons with disabilities to improve their independence or become more productive members of the community. The person must demonstrate creditworthiness and repayment abilities to the satisfaction of the Board."
qualifying child,"""Qualifying child"" means a dependent child less than eighteen years of age, or if eighteen years of age or older a dependent child enrolled in high school."
qualifying facilities,"""Qualifying facilities"" means a cogeneration or small power production facility which meets the criteria of 18 C.F.R. Part 292."
qualifying institution,"""Qualifying institution"" means a public or private institution of higher education in the Commonwealth or its associated intellectual property foundation that adopts a policy regarding the ownership, protection, assignment, and use of intellectual property pursuant to § 23-4.3."
qualifying part-time employee,"""Qualifying part-time employee"" means any person who would qualify as a state employee as defined in § 51.1-124.3 but, rather than being regularly employed full time on a salaried basis, is regularly employed part time for at least 20 hours but less than 40 hours per week on a salaried basis."
qualifying project,"""Qualifying project"" means the same as that term is defined in the Public-Private Education Facilities and Infrastructure Act of 2002."
qualifying project,"""Qualifying project"" means (i) any education facility, including, but not limited to a school building, any functionally related and subordinate facility and land to a school building (including any stadium or other facility primarily used for school events), and any depreciable property provided for use in a school facility that is operated as part of the public school system or as an institution of higher education; (ii) any building or facility that meets a public purpose and is developed or operated by or for any public entity; (iii) any improvements, together with equipment, necessary to enhance public safety and security of buildings to be principally used by a public entity; (iv) utility and telecommunications and other communications infrastructure; (v) a recreational facility; (vi) technology infrastructure, services, and applications, including, but not limited to, telecommunications, automated data processing, word processing and management information systems, and related information, equipment, goods and services; (vii) any services designed to increase the productivity or efficiency of the responsible public entity through the use of technology or other means, (viii) any technology, equipment, or infrastructure designed to deploy wireless broadband services to schools, businesses, or residential areas; (ix) any improvements necessary or desirable to any unimproved locally- or state-owned real estate; or (x) any solid waste management facility as defined in § 10.1-1400 that produces electric energy derived from solid waste."
qualifying project,"""Qualifying project"" means an economic development project requiring natural gas service as to which the natural gas utility has made a good faith determination that the following criteria are satisfied:"
qualifying transportation facility,"""Qualifying transportation facility"" means one or more transportation facilities developed and/or operated by a private entity pursuant to this chapter."
qualifying vehicle,"""Qualifying vehicle"" means any passenger car, motorcycle, and pickup or panel truck, as those terms are defined in § 46.2-100, that is determined by the commissioner of the revenue of the county or city in which the vehicle has situs as provided by § 58.1-3511 to be (i) privately owned; (ii) leased pursuant to a contract requiring the lessee to pay the tangible personal property tax on such vehicle; or (iii) held in a private trust for nonbusiness purposes. In determining whether a vehicle is a qualifying vehicle, the commissioner of revenue must rely on the registration of such vehicle with the Department pursuant to Chapter 6 (§ 46.2-600 et seq.) of Title 46.2 or, for leased vehicles, the information of the Department pursuant to subsections B and C of § 46.2-623, unless the commissioner of the revenue has information that the Department's information is incorrect, or to the extent that the Department's information is incomplete. For purposes of this chapter, all-terrain vehicles and off-road motorcycles titled with the Department of Motor Vehicles shall not be deemed qualifying vehicles."
quality control and quality assurance program,"""Quality control and quality assurance program"" means laboratory procedures implemented to ensure that operator bias, systematic and nonsystematic methodological errors, and equipment-related problems do not affect the results of the testing, and the testing repeatability remains within the required repeatability value for any test trial used to certify cigarettes under this chapter."
quantity statement,"""Quantity statement"" means the net weight (mass), net volume (liquid or dry), count or other form of measurement of a commodity."
quantity statement,"""Quantity statement"" means the net weight (mass), net volume (liquid or dry), count or other form of measurement of a commodity."
quantity statement,"""Quantity statement"" means the net weight (mass), net volume (liquid or dry), count or other form of measurement of a commodity."
quantity statement,"""Quantity statement"" means the net weight (mass), net volume (liquid or dry), count or other form of measurement of a commodity."
quantity statement,"""Quantity statement"" means the net weight (mass), net volume (liquid or dry), count, or other form of measurement of a commodity."
quarantine,"""Quarantine"" means the physical separation, including confinement or restriction of movement, of an individual or individuals who are present within an affected area, as defined herein, or who are known to have been exposed or may reasonably be suspected to have been exposed to a communicable disease of public health threat and who do not yet show signs or symptoms of infection with the communicable disease of public health threat in order to prevent or limit the transmission of the communicable disease of public health threat to other unexposed and uninfected individuals."
quarantine,"""Quarantine"" means a legal declaration by the Board that specifies: (i) the noxious weed; (ii) the articles to be regulated; (iii) conditions governing movement; and (iv) exemptions."
quota holder,"""Quota holder"" means an owner of a farm on July 1, 1998, or July 1 of any subsequent crop year upon which the Commission may determine to base indemnification payments, for which a tobacco farm marketing quota or farm acreage allotment was established under the Agriculture Adjustment Act of 1938 (7 U.S.C. § 1281 et seq.)."
rack,"""Rack"" means a facility that contains a mechanism for delivering motor fuel from a refinery, terminal, or bulk plant into a transport truck, railroad tank car, or other means of transfer that is outside the terminal transfer system."
racketeering activity,"""Racketeering activity"" means to commit, attempt to commit, conspire to commit, or to solicit, coerce, or intimidate another person to commit two or more of the following offenses: Article 2.1 (§ 18.2-46.1 et seq.) of Chapter 4 of this title, § 18.2-460; a felony offense of §§ 3.2-4212, 3.2-4219, 10.1-1455, 18.2-31, 18.2-32, 18.2-32.1, 18.2-33, 18.2-35, Article 2.2 (§ 18.2-46.4 et seq.) of Chapter 4 of this title, §§ 18.2-47, 18.2-48, 18.2-48.1, 18.2-49, 18.2-51, 18.2-51.2, 18.2-52, 18.2-53, 18.2-55, 18.2-58, 18.2-59, 18.2-77, 18.2-79, 18.2-80, 18.2-89, 18.2-90, 18.2-91, 18.2-92, 18.2-93, 18.2-95, Article 4 (§ 18.2-111 et seq.) of Chapter 5 of this title, Article 1 (§ 18.2-168 et seq.) of Chapter 6 of this title, §§ 18.2-178, 18.2-186, Article 6 (§ 18.2-191 et seq.) of Chapter 6 of this title, Article 9 (§ 18.2-246.1 et seq.) of Chapter 6 of this title, § 18.2-246.13, Article 1 (§ 18.2-247 et seq.) of Chapter 7 of this title, §§ 18.2-279, 18.2-286.1, 18.2-289, 18.2-300, 18.2-308.2, 18.2-308.2:1, 18.2-328, 18.2-348, 18.2-355, 18.2-356, 18.2-357, 18.2-368, 18.2-369, 18.2-374.1, Article 8 (§ 18.2-433.1 et seq.) of Chapter 9 of this title, Article 1 (§ 18.2-434 et seq.) of Chapter 10 of this title, Article 2 (§ 18.2-438 et seq.) of Chapter 10 of this title, Article 3 (§ 18.2-446 et seq.) of Chapter 10 of this title, Article 1.1 (§ 18.2-498.1 et seq.) of Chapter 12 of this title, § 3.2-6571, 18.2-516, 32.1-314, 58.1-1008.2, or 58.1-1017; or any substantially similar offenses under the laws of any other state, the District of Columbia, the United States or its territories."
radiation emergency,"""Radiation emergency"" means any situation, excluding events resulting from nuclear warfare, which involves the possibility of accidental release of ionizing radiation that may pose a threat to the safety and health of any citizen of this Commonwealth."
radio,"""Radio"" means any radio broadcast station that is subject to the provisions of 47 U.S.C. §§ 315 and 317."
radioactive material,"""Radioactive material"" means any material that emits ionizing radiation spontaneously."
radiologic technologist,"""Radiologic technologist"" means an individual, other than a licensed doctor of medicine, osteopathy, podiatry, or chiropractic, or a dentist licensed pursuant to Chapter 27 (§ 54.1-2700 et seq.), who (i) performs, may be called upon to perform, or who is licensed to perform a comprehensive scope of diagnostic radiologic procedures employing equipment which emits ionizing radiation and (ii) is delegated or exercises responsibility for the operation of radiation-generating equipment, the shielding of patient and staff from unnecessary radiation, the appropriate exposure of radiographs or other procedures which contribute to any significant extent to the site or dosage of ionizing radiation to which a patient is exposed."
"radiologic technologist, limited","""Radiologic technologist, limited"" means an individual, other than a licensed radiologic technologist, dental hygienist or person who is otherwise authorized by the Board of Dentistry under Chapter 27 (§ 54.1-2700 et seq.) and the regulations pursuant thereto, who performs diagnostic radiographic procedures employing equipment which emits ionizing radiation which is limited to specific areas of the human body."
radiologist assistant,"""Radiologist assistant"" means an individual who has met the requirements of the Board for licensure as an advanced-level radiologic technologist and who, under the direct supervision of a licensed doctor of medicine or osteopathy specializing in the field of radiology, is authorized to (i) assess and evaluate the physiological and psychological responsiveness of patients undergoing radiologic procedures; (ii) evaluate image quality, make initial observations, and communicate observations to the supervising radiologist; (iii) administer contrast media or other medications prescribed by the supervising radiologist; and (iv) perform, or assist the supervising radiologist to perform, any other procedure consistent with the guidelines adopted by the American College of Radiology, the American Society of Radiologic Technologists, and the American Registry of Radiologic Technologists."
radiopharmaceutical,"""Radiopharmaceutical"" means any drug that exhibits spontaneous disintegration of unstable nuclei with the emission of nuclear particles or photons and includes any non-radioactive reagent kit or radionuclide generator that is intended to be used in the preparation of any such substance, but does not include drugs such as carbon-containing compounds or potassium-containing salts that include trace quantities of naturally occurring radionuclides. The term also includes any biological product that is labeled with a radionuclide or intended solely to be labeled with a radionuclide."
raffle,"""Raffle"" means a lottery in which the prize is won by (i) a random drawing of the name or prearranged number of one or more persons purchasing chances or (ii) a random contest in which the winning name or preassigned number of one or more persons purchasing chances is determined by a race involving inanimate objects floating on a body of water, commonly referred to as a ""duck race."""
railroad,"""Railroad"" includes all railroad or railway lines, whether operated by steam, electricity, or other motive power, except when otherwise specifically designated."
railroad,"""Railroad"" means a railroad company or railroad corporation that has entered into any contracts or operating agreements of any kind with an authority for the provision of passenger rail services."
railroad company,"""Railroad company"" includes any company, trustee or other person owning, leasing or operating a railroad."
railroad rolling stock,"""Railroad rolling stock"" means locomotives, of whatever motive power, autocars, railroad cars of every kind and description, and all other equipment determined by the Tax Commissioner to constitute railroad rolling stock."
raising or keeping of poultry for profit,"""Raising or keeping of poultry for profit"" means the raising or keeping of 500 or more poultry at one time for the purpose of sale of such poultry or the eggs produced therefrom."
rappahannock river basin,"""Rappahannock River Basin"" means that land area designated as the Rappahannock River Basin by the State Water Control Board pursuant to § 62.1-44.38 and which is also found in the Fourth, Seventeenth, Twenty-fourth, Twenty-fifth, Twenty-sixth, Twenty-seventh and Twenty-eighth Senatorial Districts or the Fifteenth, Eighteenth, Twenty-eighth, Thirtieth, Thirty-first, Fifty-fourth, Fifty-eighth, Eighty-eighth, Ninety-eighth and Ninety-ninth House of Delegates Districts, as those districts exist on January 1, 2002."
rate,"""Rate"" or ""rates"" means any rate of premium, policy fee, membership fee or any other charge made by an insurer for or in connection with a contract or policy of insurance. The terms ""rate"" or ""rates"" shall not include a membership fee paid to become a member of an organization or association, one of the benefits of which is the purchasing of insurance coverage."
rate,"""Rate"" means rate charged for any service rendered or to be rendered."
rate of exchange,"""Rate of exchange"" means the rate at which money of one country may be converted into money of another country in a free financial market convenient to or reasonably usable by a person obligated to pay or to state a rate of conversion. If separate rates of exchange apply to different kinds of transactions, the term means the rate applicable to the particular transaction giving rise to the foreign-money claim."
rate service organization,"""Rate service organization"" means any organization or person, other than a joint underwriting association under § 38.2-1915 or any employee of an insurer including those insurers under common control or management, who assists insurers in ratemaking or filing by:"
rate service organization,"""Rate service organization"" means any entity, including its affiliates or subsidiaries, which either has two or more member insurers or is controlled either directly or indirectly by two or more insurers, other than a joint underwriting association under § 38.2-1915, which assists insurers in ratemaking or filing by (i) collecting, compiling, and furnishing loss statistics; (ii) recommending, making, or filing prospective loss costs or supplementary rate information; or (iii) advising about rate questions, except as an attorney giving legal advice. Two or more insurers having a common ownership or operating in this Commonwealth under common management or control constitute a single insurer for purposes of this definition."
rates,"""Rate"" or ""rates"" means any rate of premium, policy fee, membership fee or any other charge made by an insurer for or in connection with a contract or policy of insurance. The terms ""rate"" or ""rates"" shall not include a membership fee paid to become a member of an organization or association, one of the benefits of which is the purchasing of insurance coverage."
ratio of membership camping contracts to camping sites,"""Ratio of membership camping contracts to camping sites"" means the total number of membership camping contracts sold in relation to each available camping site."
rbc instructions,"""RBC Instructions"" means the RBC Report including risk-based capital instructions adopted by the NAIC, as such RBC Instructions may be amended by the NAIC from time to time in accordance with the procedures adopted by the NAIC."
rbc level,"""RBC Level"" means a licensee's Company Action Level RBC, Regulatory Action Level RBC, Authorized Control Level RBC, or Mandatory Control Level RBC where:"
rbc plan,"""RBC Plan"" means a comprehensive financial plan containing the elements specified in subsection B of § 38.2-5503. If the Commission rejects the RBC Plan, and it is revised by the licensee, with or without the Commission's recommendation, the plan shall be called the ""Revised RBC Plan."""
rbc report,"""RBC Report"" means the report required in § 38.2-5502."
reach,"""Reach"" means a shoreline segment wherein there is mutual interaction of the forces of erosion, sediment transport and accretion."
readily accessible,"""Readily accessible"" means areas within the interior of the dwelling unit available for observation at the time of the move-in inspection that do not require removal of materials, personal property, equipment, or similar items."
readily accessible,"""Readily accessible"" means areas within the interior of the dwelling unit available for observation at the time of the move-in inspection that do not require removal of materials, personal property, equipment, or similar items."
readily accessible,"""Readily accessible"" means areas within the interior of the dwelling unit available for observation at the time of the move-in inspection that do not require removal of materials, personal property, equipment or similar items."
real estate,"""Real estate"" means any leasehold or other estate or interest in, over or under land, including structures, fixtures, and other improvements and interests which by custom, usage or law pass with a conveyance of land though not described in the contract of sale or instrument of conveyance. ""Real estate"" includes parcels with or without upper or lower boundaries, and spaces that may be filled with air or water."
real estate,"""Real estate"" includes a leasehold estate of not less than 25 years."
real estate,"""Real estate"" includes a leasehold estate of not less than 25 years."
real estate,"""Real estate"" means an identified parcel or tract of land, including improvements thereon, if any."
real estate broker,"""Real estate broker"" means any person or business entity, including, but not limited to, a partnership, association, corporation or limited liability company, who, for compensation or valuable consideration (i) sells or offers for sale, buys or offers to buy, or negotiates the purchase or sale or exchange of real estate, including units or interest in condominiums, cooperative interest as defined in § 55-426, or time-shares in a time-share program even though they may be deemed to be securities, or (ii) leases or offers to lease, or rents or offers for rent, any real estate or the improvements thereon for others."
real estate brokerage activities,"""Real estate brokerage activities"" means any activity that involves offering or providing real estate brokerage services to the public, including (i) acting as a real estate broker, real estate agent, or real estate salesperson for a buyer, seller, lessor, or lessee of real property; (ii) bringing together parties interested in the sale, purchase, lease, rental, or exchange of real property; (iii) negotiating any portion of a contract relating to the sale, purchase, lease, rental, or exchange of real property, other than in connection with providing financing with respect to any such transaction; (iv) engaging in any activity for which a person is required to be licensed or registered as a real estate broker, real estate agent, or real estate salesperson; and (v) offering to engage in any activity or act in any capacity described in clauses (i) through (iv)."
real estate devoted to agricultural use,"""Real estate devoted to agricultural use"" shall mean real estate devoted to the bona fide production for sale of plants and animals useful to man under uniform standards prescribed by the Commissioner of Agriculture and Consumer Services in accordance with the Administrative Process Act (§ 2.2-4000 et seq.), or devoted to and meeting the requirements and qualifications for payments or other compensation pursuant to a soil conservation program under an agreement with an agency of the federal government. Prior, discontinued use of property shall not be considered in determining its current use. Real estate upon which recreational activities are conducted for a profit or otherwise shall be considered real estate devoted to agricultural use as long as the recreational activities conducted on such real estate do not change the character of the real estate so that it does not meet the uniform standards prescribed by the Commissioner. Real property that has been designated as devoted to agricultural use shall not lose such designation solely because a portion of the property is being used for a different purpose pursuant to a special use permit or otherwise allowed by zoning, provided that the property, excluding such portion, otherwise meets all the requirements for such designation. The portion of the property being used for a different purpose pursuant to a special use permit or otherwise allowed by zoning shall be deemed a separate piece of property from the remaining property for purposes of assessment. The presence of utility lines on real property shall not be considered in determining whether the property, including the portion where the utility lines are located, is devoted to agricultural use. In determining whether real property is devoted to agricultural use, zoning designations and special use permits for the property shall not be the sole considerations."
real estate devoted to forest use,"""Real estate devoted to forest use"" shall mean land, including the standing timber and trees thereon, devoted to tree growth in such quantity and so spaced and maintained as to constitute a forest area under standards prescribed by the State Forester pursuant to the authority set out in § 58.1-3240 and in accordance with the Administrative Process Act (§ 2.2-4000 et seq.). Prior, discontinued use of property shall not be considered in determining its current use. Real estate upon which recreational activities are conducted for profit, or otherwise, shall still be considered real estate devoted to forest use as long as the recreational activities conducted on such real estate do not change the character of the real estate so that it no longer constitutes a forest area under standards prescribed by the State Forester pursuant to the authority set out in § 58.1-3240. Real property that has been designated as devoted to forest use shall not lose such designation solely because a portion of the property is being used for a different purpose pursuant to a special use permit or is otherwise allowed by zoning, provided that the property, excluding such portion, otherwise meets all the requirements for such designation. The portion of the property being used for a different purpose pursuant to a special use permit or otherwise allowed by zoning shall be deemed a separate piece of property from the remaining property for purposes of assessment. The presence of utility lines on real property shall not be considered in determining whether the property, including the portion where the utility lines are located, is devoted to forest use. In determining whether real property is devoted to forest use, zoning designations and special use permits for the property shall not be the sole considerations."
real estate devoted to horticultural use,"""Real estate devoted to horticultural use"" shall mean real estate devoted to the bona fide production for sale of fruits of all kinds, including grapes, nuts, and berries; vegetables; and nursery and floral products under uniform standards prescribed by the Commissioner of Agriculture and Consumer Services in accordance with the Administrative Process Act (§ 2.2-4000 et seq.), or real estate devoted to and meeting the requirements and qualifications for payments or other compensation pursuant to a soil conservation program under an agreement with an agency of the federal government. Prior, discontinued use of property shall not be considered in determining its current use. Real estate upon which recreational activities are conducted for profit or otherwise shall be considered real estate devoted to horticultural use as long as the recreational activities conducted on such real estate do not change the character of the real estate so that it does not meet the uniform standards prescribed by the Commissioner. Real property that has been designated as devoted to horticultural use shall not lose such designation solely because a portion of the property is being used for a different purpose pursuant to a special use permit or otherwise allowed by zoning, provided that the property, excluding such portion, otherwise meets all the requirements for such designation. The portion of the property being used for a different purpose pursuant to a special use permit or otherwise allowed by zoning shall be deemed a separate piece of property from the remaining property for purposes of assessment. The presence of utility lines on real property shall not be considered in determining whether the property, including the portion where the utility lines are located, is devoted to horticultural use. In determining whether real property is devoted to horticultural use, zoning designations and special use permits for the property shall not be the sole considerations."
real estate devoted to open-space use,"""Real estate devoted to open-space use"" shall mean real estate used as, or preserved for, (i) park or recreational purposes, including public or private golf courses, (ii) conservation of land or other natural resources, (iii) floodways, (iv) wetlands as defined in § 58.1-3666, (v) riparian buffers as defined in § 58.1-3666, (vi) historic or scenic purposes, or (vii) assisting in the shaping of the character, direction, and timing of community development or for the public interest and consistent with the local land-use plan under uniform standards prescribed by the Director of the Department of Conservation and Recreation pursuant to the authority set out in § 58.1-3240 and in accordance with the Administrative Process Act (§ 2.2-4000 et seq.) and the local ordinance. Prior, discontinued use of property shall not be considered in determining its current use. Real property that has been designated as devoted to open-space use shall not lose such designation solely because a portion of the property is being used for a different purpose pursuant to a special use permit or is otherwise allowed by zoning, provided that the property, excluding such portion, otherwise meets all the requirements for such designation. The portion of the property being used for a different purpose pursuant to a special use permit or otherwise allowed by zoning shall be deemed a separate piece of property from the remaining property for purposes of assessment. The presence of utility lines on real property shall not be considered in determining whether the property, including the portion where the utility lines are located, is devoted to open-space use. In determining whether real property is devoted to open-space use, zoning designations and special use permits for the property shall not be the sole considerations."
real estate services,"""Real estate services"" means providing a service with respect to the purchase, sale, lease, rental, or appraisal of real property."
real estate-related financial transaction,"""Real estate-related financial transaction"" means any transaction involving:"
real gdp,"""Real GDP"" means the Annual Real Gross Domestic Product as reported by the U.S. Department of Commerce, Bureau of Economic Analysis."
